numero_venda;data;produto;quantidade;valor_total
10157;2026-05-29;Pao de Forma;4;36.12
10157;2026-05-29;Arroz 5kg;5;128.2
10158;2026-05-20;Leite 1L;1;5.58
10159;2026-05-26;Linguica kg;4;80.0
10159;2026-05-26;Leite 1L;1;4.16
10159;2026-05-26;Refrigerante 2L;6;55.98
10159;2026-05-26;Carne Bovina kg;4;188.88
10159;2026-05-26;Carvao 5kg;2;56.62
10160;2026-05-17;Carvao 5kg;3;84.27
10160;2026-05-17;Carne Bovina kg;5;293.25
10160;2026-05-17;Macarrao 500g;5;27.25
10160;2026-05-17;Acucar 5kg;5;105.0
10160;2026-05-17;Refrigerante 2L;1;9.58
10160;2026-05-17;Linguica kg;6;82.5
10160;2026-05-17;Oleo 900ml;4;36.36
10161;2026-05-26;Sabao em Po;3;64.62
10162;2026-05-26;Cerveja Lata;6;33.96
10162;2026-05-26;Feijao 1kg;4;27.56
10162;2026-05-26;Sabao em Po;6;68.34
10162;2026-05-26;Acucar 5kg;5;137.4
10162;2026-05-26;Carvao 5kg;1;21.24
10163;2026-05-15;Carvao 5kg;2;49.96
10163;2026-05-15;Cerveja Lata;5;31.3
10163;2026-05-15;Sabao em Po;6;109.08
10163;2026-05-15;Oleo 900ml;6;35.82
10164;2026-05-07;Papel Higienico;4;75.8
10164;2026-05-07;Macarrao 500g;3;17.19
10164;2026-05-07;Frango kg;6;115.56
10164;2026-05-07;Acucar 5kg;6;148.86
10165;2026-05-26;Sabao em Po;3;33.45
10165;2026-05-26;Refrigerante 2L;3;37.2
10165;2026-05-26;Cerveja Lata;6;24.72
10165;2026-05-26;Leite 1L;6;35.76
10165;2026-05-26;Carvao 5kg;4;95.72
10166;2026-05-30;Carne Bovina kg;4;233.12
10166;2026-05-30;Cafe 500g;2;31.56
10166;2026-05-30;Macarrao 500g;3;23.34
10167;2026-05-03;Carvao 5kg;5;113.05
10167;2026-05-03;Sabao em Po;5;88.75
10167;2026-05-03;Refrigerante 2L;2;15.52
10167;2026-05-03;Cafe 500g;6;117.78
10168;2026-05-08;Carvao 5kg;4;94.44
10168;2026-05-08;Carne Bovina kg;4;126.88
10168;2026-05-08;Cerveja Lata;2;7.04
10168;2026-05-08;Macarrao 500g;5;39.45
10168;2026-05-08;Cafe 500g;2;34.58
10168;2026-05-08;Arroz 5kg;4;112.84
10168;2026-05-08;Feijao 1kg;2;21.08
10169;2026-05-10;Carvao 5kg;6;166.56
10169;2026-05-10;Cerveja Lata;5;28.6
10169;2026-05-10;Acucar 5kg;1;27.13
10170;2026-05-06;Feijao 1kg;4;28.48
10170;2026-05-06;Macarrao 500g;6;46.86
10171;2026-05-30;Carvao 5kg;3;82.98
10171;2026-05-30;Cerveja Lata;1;6.29
10171;2026-05-30;Arroz 5kg;3;77.1
10172;2026-05-21;Leite 1L;2;14.48
10172;2026-05-21;Papel Higienico;3;29.85
10172;2026-05-21;Detergente;4;15.76
10172;2026-05-21;Agua Mineral 1,5L;6;15.36
10173;2026-05-24;Refrigerante 2L;4;42.44
10173;2026-05-24;Pao de Forma;1;8.4
10173;2026-05-24;Macarrao 500g;1;3.92
10174;2026-05-05;Arroz 5kg;4;100.24
10174;2026-05-05;Carvao 5kg;3;102.66
10175;2026-05-10;Arroz 5kg;1;30.68
10175;2026-05-10;Carvao 5kg;4;92.88
10175;2026-05-10;Linguica kg;4;91.92
10175;2026-05-10;Sabao em Po;6;112.68
10175;2026-05-10;Cafe 500g;6;81.18
10176;2026-05-30;Cerveja Lata;4;15.84
10176;2026-05-30;Agua Mineral 1,5L;6;29.82
10176;2026-05-30;Leite 1L;3;16.98
10177;2026-05-18;Refrigerante 2L;5;59.65
10177;2026-05-18;Cerveja Lata;1;6.25
10177;2026-05-18;Acucar 5kg;1;18.62
10177;2026-05-18;Carvao 5kg;5;166.75
10177;2026-05-18;Papel Higienico;2;29.74
10178;2026-05-05;Carvao 5kg;5;131.55
10178;2026-05-05;Carne Bovina kg;5;222.4
10178;2026-05-05;Papel Higienico;1;13.44
10178;2026-05-05;Feijao 1kg;5;42.45
10178;2026-05-05;Macarrao 500g;5;16.45
10178;2026-05-05;Cafe 500g;4;83.0
10178;2026-05-05;Oleo 900ml;3;30.18
10179;2026-05-13;Carvao 5kg;5;96.2
10179;2026-05-13;Cerveja Lata;4;18.12
10179;2026-05-13;Refrigerante 2L;1;10.79
10180;2026-05-02;Sabao em Po;1;12.02
10181;2026-05-06;Linguica kg;4;72.04
10181;2026-05-06;Macarrao 500g;6;46.92
10181;2026-05-06;Detergente;5;12.0
10181;2026-05-06;Oleo 900ml;3;17.49
10182;2026-05-18;Cerveja Lata;1;6.44
10182;2026-05-18;Arroz 5kg;4;123.04
10183;2026-05-18;Cerveja Lata;2;8.66
10183;2026-05-18;Agua Mineral 1,5L;6;25.8
10183;2026-05-18;Detergente;1;4.43
10183;2026-05-18;Pao de Forma;4;38.76
10184;2026-05-30;Cerveja Lata;2;7.4
10185;2026-05-20;Carvao 5kg;4;87.92
10185;2026-05-20;Carne Bovina kg;2;111.82
10185;2026-05-20;Feijao 1kg;1;6.84
10185;2026-05-20;Cafe 500g;3;45.12
10185;2026-05-20;Oleo 900ml;6;54.18
10185;2026-05-20;Arroz 5kg;5;148.85
10185;2026-05-20;Refrigerante 2L;6;76.38
10186;2026-05-08;Carvao 5kg;3;68.04
10186;2026-05-08;Cerveja Lata;5;31.75
10186;2026-05-08;Carne Bovina kg;6;370.38
10186;2026-05-08;Refrigerante 2L;6;70.5
10187;2026-05-18;Macarrao 500g;6;30.48
10187;2026-05-18;Papel Higienico;2;23.2
10187;2026-05-18;Frango kg;2;38.1
10188;2026-05-16;Carvao 5kg;6;122.7
10188;2026-05-16;Cerveja Lata;4;24.96
10188;2026-05-16;Linguica kg;5;93.0
10188;2026-05-16;Sabao em Po;4;63.2
10189;2026-05-05;Refrigerante 2L;4;51.72
10189;2026-05-05;Frango kg;1;16.43
10189;2026-05-05;Acucar 5kg;2;37.04
10190;2026-05-13;Feijao 1kg;5;51.75
10190;2026-05-13;Acucar 5kg;5;100.85
10190;2026-05-13;Refrigerante 2L;2;26.18
10190;2026-05-13;Macarrao 500g;3;13.56
10190;2026-05-13;Detergente;1;2.64
10191;2026-05-07;Sabao em Po;2;35.48
10192;2026-05-23;Carvao 5kg;3;73.41
10192;2026-05-23;Cerveja Lata;5;27.25
10192;2026-05-23;Macarrao 500g;3;12.93
10192;2026-05-23;Detergente;5;23.25
10193;2026-05-15;Carvao 5kg;3;75.12
10193;2026-05-15;Carne Bovina kg;5;299.85
10193;2026-05-15;Macarrao 500g;6;22.38
10193;2026-05-15;Papel Higienico;3;43.92
10193;2026-05-15;Cafe 500g;5;97.65
10193;2026-05-15;Pao de Forma;4;31.08
10194;2026-05-07;Carvao 5kg;6;142.44
10194;2026-05-07;Cerveja Lata;4;25.6
10194;2026-05-07;Carne Bovina kg;6;332.16
10194;2026-05-07;Agua Mineral 1,5L;4;10.0
10194;2026-05-07;Frango kg;3;36.09
10194;2026-05-07;Macarrao 500g;6;34.38
10195;2026-05-06;Feijao 1kg;1;11.67
10195;2026-05-06;Papel Higienico;6;51.48
10195;2026-05-06;Agua Mineral 1,5L;1;3.24
10195;2026-05-06;Oleo 900ml;6;39.72
10195;2026-05-06;Detergente;6;14.7
10196;2026-05-07;Feijao 1kg;1;6.04
10196;2026-05-07;Sabao em Po;5;68.8
10196;2026-05-07;Papel Higienico;1;14.35
10197;2026-05-09;Arroz 5kg;2;46.78
10197;2026-05-09;Papel Higienico;1;14.29
10197;2026-05-09;Oleo 900ml;2;12.68
10198;2026-05-17;Carvao 5kg;1;24.34
10198;2026-05-17;Cerveja Lata;4;19.52
10198;2026-05-17;Frango kg;2;43.76
10198;2026-05-17;Detergente;2;5.8
10198;2026-05-17;Refrigerante 2L;1;11.58
10199;2026-05-28;Acucar 5kg;4;87.16
10200;2026-05-18;Pao de Forma;1;9.0
10201;2026-05-14;Cafe 500g;2;29.5
10201;2026-05-14;Papel Higienico;6;111.9
10201;2026-05-14;Feijao 1kg;4;30.52
10202;2026-05-30;Carvao 5kg;3;54.81
10202;2026-05-30;Carne Bovina kg;2;99.44
10202;2026-05-30;Feijao 1kg;6;65.58
10202;2026-05-30;Acucar 5kg;1;20.99
10202;2026-05-30;Sabao em Po;5;56.85
10203;2026-05-27;Frango kg;6;65.64
10203;2026-05-27;Macarrao 500g;6;47.22
10203;2026-05-27;Leite 1L;1;4.39
10203;2026-05-27;Papel Higienico;2;36.12
10203;2026-05-27;Linguica kg;3;65.04
10204;2026-05-20;Frango kg;4;63.56
10204;2026-05-20;Arroz 5kg;3;87.57
10204;2026-05-20;Carvao 5kg;4;101.36
10204;2026-05-20;Macarrao 500g;6;35.58
10205;2026-05-13;Carvao 5kg;1;22.56
10205;2026-05-13;Carne Bovina kg;4;217.32
10205;2026-05-13;Linguica kg;6;86.82
10205;2026-05-13;Detergente;4;11.8
10205;2026-05-13;Cafe 500g;1;13.19
10205;2026-05-13;Oleo 900ml;3;24.33
10205;2026-05-13;Feijao 1kg;3;19.83
10206;2026-05-03;Carvao 5kg;3;82.26
10206;2026-05-03;Cerveja Lata;5;26.45
10206;2026-05-03;Sabao em Po;3;60.27
10206;2026-05-03;Feijao 1kg;1;7.75
10206;2026-05-03;Arroz 5kg;4;128.52
10206;2026-05-03;Papel Higienico;6;112.86
10207;2026-05-29;Papel Higienico;6;75.42
10207;2026-05-29;Pao de Forma;2;15.22
10208;2026-05-09;Pao de Forma;4;30.64
10209;2026-05-10;Linguica kg;3;81.33
10210;2026-05-24;Refrigerante 2L;1;13.64
10210;2026-05-24;Detergente;3;13.56
10210;2026-05-24;Cafe 500g;4;89.8
10210;2026-05-24;Acucar 5kg;3;67.2
10210;2026-05-24;Leite 1L;4;29.04
10211;2026-05-28;Leite 1L;2;11.84
10211;2026-05-28;Carne Bovina kg;2;127.38
10211;2026-05-28;Frango kg;3;40.5
10211;2026-05-28;Papel Higienico;6;93.54
10211;2026-05-28;Linguica kg;5;122.55
10212;2026-05-11;Linguica kg;5;74.4
10212;2026-05-11;Cafe 500g;5;61.75
10212;2026-05-11;Refrigerante 2L;6;61.38
10212;2026-05-11;Carne Bovina kg;6;214.56
10213;2026-05-26;Carvao 5kg;6;158.94
10213;2026-05-26;Cerveja Lata;6;26.46
10213;2026-05-26;Sabao em Po;3;51.66
10214;2026-05-23;Acucar 5kg;4;93.36
10214;2026-05-23;Detergente;6;19.5
10214;2026-05-23;Sabao em Po;1;19.07
10214;2026-05-23;Carne Bovina kg;3;161.88
10215;2026-05-26;Cafe 500g;2;41.1
10216;2026-05-12;Carvao 5kg;4;137.76
10216;2026-05-12;Carne Bovina kg;3;191.19
10216;2026-05-12;Feijao 1kg;4;26.56
10216;2026-05-12;Linguica kg;1;16.14
10216;2026-05-12;Macarrao 500g;5;33.65
10216;2026-05-12;Sabao em Po;5;80.65
10216;2026-05-12;Detergente;5;13.3
10217;2026-05-12;Papel Higienico;1;11.55
10217;2026-05-12;Leite 1L;1;4.46
10217;2026-05-12;Linguica kg;6;85.62
10217;2026-05-12;Arroz 5kg;3;79.38
10217;2026-05-12;Cerveja Lata;2;10.12
10218;2026-05-12;Detergente;1;4.43
10218;2026-05-12;Frango kg;1;10.27
10218;2026-05-12;Acucar 5kg;3;73.44
10218;2026-05-12;Leite 1L;6;43.2
10219;2026-05-30;Papel Higienico;5;49.6
10219;2026-05-30;Pao de Forma;5;42.8
10220;2026-05-15;Carvao 5kg;4;98.88
10220;2026-05-15;Cerveja Lata;6;32.04
10220;2026-05-15;Pao de Forma;2;17.4
10220;2026-05-15;Acucar 5kg;4;87.56
10220;2026-05-15;Macarrao 500g;6;24.42
10220;2026-05-15;Sabao em Po;3;55.59
10221;2026-05-26;Cafe 500g;4;53.92
10221;2026-05-26;Pao de Forma;6;67.08
10221;2026-05-26;Linguica kg;5;137.25
10221;2026-05-26;Papel Higienico;3;45.48
10221;2026-05-26;Agua Mineral 1,5L;5;15.9
10222;2026-05-04;Pao de Forma;2;15.76
10222;2026-05-04;Carne Bovina kg;2;78.6
10222;2026-05-04;Acucar 5kg;2;43.46
10222;2026-05-04;Frango kg;2;32.26
10223;2026-05-14;Macarrao 500g;5;32.35
10223;2026-05-14;Oleo 900ml;6;69.06
10223;2026-05-14;Pao de Forma;2;18.66
10223;2026-05-14;Cerveja Lata;4;17.48
10223;2026-05-14;Frango kg;2;27.54
10224;2026-05-15;Arroz 5kg;2;65.2
10224;2026-05-15;Sabao em Po;5;75.4
10224;2026-05-15;Leite 1L;4;22.56
10225;2026-05-16;Sabao em Po;1;19.14
10225;2026-05-16;Pao de Forma;2;15.5
10225;2026-05-16;Acucar 5kg;3;60.75
10225;2026-05-16;Carne Bovina kg;3;102.66
10226;2026-05-15;Agua Mineral 1,5L;1;2.8
10226;2026-05-15;Papel Higienico;5;89.4
10226;2026-05-15;Cafe 500g;3;57.15
10226;2026-05-15;Carne Bovina kg;1;56.12
10227;2026-05-15;Cafe 500g;1;17.85
10227;2026-05-15;Cerveja Lata;3;18.27
10227;2026-05-15;Carne Bovina kg;1;44.25
10227;2026-05-15;Oleo 900ml;1;10.43
10228;2026-05-08;Carvao 5kg;4;83.28
10228;2026-05-08;Cerveja Lata;2;11.7
10228;2026-05-08;Oleo 900ml;2;21.28
10228;2026-05-08;Sabao em Po;5;64.55
10228;2026-05-08;Agua Mineral 1,5L;3;11.37
10228;2026-05-08;Linguica kg;2;34.36
10228;2026-05-08;Macarrao 500g;6;26.76
10229;2026-05-19;Carvao 5kg;1;34.87
10229;2026-05-19;Cerveja Lata;6;23.28
10229;2026-05-19;Cafe 500g;2;30.5
10229;2026-05-19;Acucar 5kg;6;127.32
10229;2026-05-19;Detergente;2;8.56
10229;2026-05-19;Sabao em Po;6;81.0
10229;2026-05-19;Refrigerante 2L;2;22.08
10230;2026-05-09;Detergente;5;21.25
10230;2026-05-09;Acucar 5kg;6;164.16
10230;2026-05-09;Papel Higienico;3;40.38
10230;2026-05-09;Refrigerante 2L;4;37.16
10231;2026-05-01;Detergente;6;23.94
10232;2026-05-12;Macarrao 500g;4;17.36
10232;2026-05-12;Refrigerante 2L;3;28.08
10232;2026-05-12;Oleo 900ml;5;29.55
10232;2026-05-12;Sabao em Po;4;76.16
10232;2026-05-12;Cafe 500g;6;131.46
10233;2026-05-02;Carvao 5kg;4;103.04
10233;2026-05-02;Carne Bovina kg;4;141.96
10233;2026-05-02;Arroz 5kg;6;202.92
10233;2026-05-02;Feijao 1kg;6;46.86
10233;2026-05-02;Sabao em Po;3;27.93
10233;2026-05-02;Acucar 5kg;3;61.5
10234;2026-05-12;Feijao 1kg;6;46.98
10234;2026-05-12;Macarrao 500g;6;40.68
10235;2026-05-14;Arroz 5kg;2;56.4
10236;2026-05-05;Detergente;1;4.96
10236;2026-05-05;Arroz 5kg;4;124.08
10236;2026-05-05;Papel Higienico;4;35.4
10236;2026-05-05;Linguica kg;4;53.72
10236;2026-05-05;Pao de Forma;1;6.62
10237;2026-05-12;Macarrao 500g;6;47.76
10237;2026-05-12;Leite 1L;2;8.54
10238;2026-05-19;Carvao 5kg;6;129.72
10238;2026-05-19;Carne Bovina kg;6;201.6
10238;2026-05-19;Papel Higienico;4;61.56
10238;2026-05-19;Pao de Forma;4;44.64
10239;2026-05-03;Cafe 500g;3;73.56
10239;2026-05-03;Macarrao 500g;3;20.88
10240;2026-05-08;Carvao 5kg;5;141.1
10240;2026-05-08;Cerveja Lata;6;31.92
10240;2026-05-08;Carne Bovina kg;6;173.94
10241;2026-05-28;Refrigerante 2L;6;58.44
10241;2026-05-28;Papel Higienico;6;51.9
10241;2026-05-28;Agua Mineral 1,5L;2;6.96
10242;2026-05-04;Carvao 5kg;2;49.16
10242;2026-05-04;Cerveja Lata;5;23.8
10242;2026-05-04;Acucar 5kg;5;124.15
10242;2026-05-04;Frango kg;4;85.8
10242;2026-05-04;Arroz 5kg;1;22.22
10242;2026-05-04;Pao de Forma;1;6.08
10242;2026-05-04;Detergente;2;4.24
10243;2026-05-02;Papel Higienico;6;76.98
10243;2026-05-02;Carne Bovina kg;6;287.1
10243;2026-05-02;Oleo 900ml;5;30.35
10243;2026-05-02;Refrigerante 2L;1;9.17
10244;2026-05-17;Agua Mineral 1,5L;4;15.04
10244;2026-05-17;Frango kg;6;109.02
10245;2026-05-03;Carvao 5kg;4;79.88
10245;2026-05-03;Cerveja Lata;5;26.65
10245;2026-05-03;Carne Bovina kg;3;157.92
10245;2026-05-03;Arroz 5kg;6;189.78
10245;2026-05-03;Cafe 500g;1;12.16
10245;2026-05-03;Feijao 1kg;2;20.42
10246;2026-05-06;Papel Higienico;2;24.92
10246;2026-05-06;Agua Mineral 1,5L;6;26.04
10246;2026-05-06;Carvao 5kg;3;91.38
10247;2026-05-04;Frango kg;4;53.04
10248;2026-05-03;Carvao 5kg;1;26.49
10248;2026-05-03;Cerveja Lata;5;20.0
10248;2026-05-03;Acucar 5kg;2;41.1
10248;2026-05-03;Carne Bovina kg;1;61.09
10248;2026-05-03;Papel Higienico;6;100.02
10248;2026-05-03;Frango kg;2;37.78
10248;2026-05-03;Pao de Forma;1;6.26
10249;2026-05-28;Carvao 5kg;3;73.53
10249;2026-05-28;Carne Bovina kg;2;69.24
10249;2026-05-28;Agua Mineral 1,5L;1;3.66
10250;2026-05-30;Cerveja Lata;6;26.76
10250;2026-05-30;Frango kg;1;16.86
10250;2026-05-30;Agua Mineral 1,5L;1;3.51
10250;2026-05-30;Refrigerante 2L;1;8.26
10251;2026-05-26;Macarrao 500g;1;7.38
10252;2026-05-28;Carvao 5kg;4;72.56
10252;2026-05-28;Cerveja Lata;2;8.74
10252;2026-05-28;Macarrao 500g;3;20.1
10252;2026-05-28;Feijao 1kg;2;17.56
10252;2026-05-28;Frango kg;5;108.3
10253;2026-05-25;Cerveja Lata;1;4.2
10253;2026-05-25;Leite 1L;3;19.62
10253;2026-05-25;Arroz 5kg;6;200.4
10253;2026-05-25;Detergente;3;6.0
10253;2026-05-25;Refrigerante 2L;6;57.78
10254;2026-05-24;Refrigerante 2L;5;69.4
10255;2026-05-14;Leite 1L;6;30.72
10256;2026-05-02;Oleo 900ml;5;28.35
10256;2026-05-02;Linguica kg;2;44.4
10256;2026-05-02;Detergente;4;8.88
10256;2026-05-02;Papel Higienico;5;43.75
10256;2026-05-02;Feijao 1kg;6;70.74
10257;2026-05-08;Carvao 5kg;6;141.3
10257;2026-05-08;Cerveja Lata;4;17.28
10257;2026-05-08;Detergente;1;4.83
10257;2026-05-08;Oleo 900ml;2;20.92
10257;2026-05-08;Sabao em Po;5;47.65
10258;2026-05-04;Carvao 5kg;3;103.2
10258;2026-05-04;Carne Bovina kg;2;89.44
10258;2026-05-04;Macarrao 500g;4;17.32
10258;2026-05-04;Refrigerante 2L;1;7.63
10258;2026-05-04;Feijao 1kg;6;46.98
10258;2026-05-04;Frango kg;6;110.16
10259;2026-05-02;Carvao 5kg;2;68.92
10259;2026-05-02;Cerveja Lata;4;20.16
10259;2026-05-02;Leite 1L;6;31.2
10259;2026-05-02;Feijao 1kg;2;12.38
10259;2026-05-02;Oleo 900ml;4;43.92
10260;2026-05-18;Cafe 500g;1;22.45
10260;2026-05-18;Detergente;2;4.72
10261;2026-05-02;Leite 1L;4;21.96
10261;2026-05-02;Refrigerante 2L;6;81.36
10262;2026-05-03;Acucar 5kg;2;54.04
10262;2026-05-03;Arroz 5kg;4;130.08
10262;2026-05-03;Agua Mineral 1,5L;1;4.72
10263;2026-05-27;Feijao 1kg;4;25.2
10264;2026-05-30;Sabao em Po;4;41.68
10264;2026-05-30;Arroz 5kg;2;67.62
10264;2026-05-30;Macarrao 500g;3;13.2
10264;2026-05-30;Frango kg;2;20.84
10265;2026-05-20;Sabao em Po;1;9.23
10265;2026-05-20;Oleo 900ml;4;23.84
10265;2026-05-20;Agua Mineral 1,5L;2;7.86
10266;2026-05-26;Arroz 5kg;4;105.88
10266;2026-05-26;Macarrao 500g;5;27.55
10266;2026-05-26;Linguica kg;4;65.32
10266;2026-05-26;Cerveja Lata;1;4.46
10266;2026-05-26;Carvao 5kg;2;37.0
10267;2026-05-26;Sabao em Po;5;65.0
10268;2026-05-19;Cafe 500g;6;90.78
10268;2026-05-19;Cerveja Lata;5;29.75
10269;2026-05-30;Macarrao 500g;2;7.76
10269;2026-05-30;Linguica kg;5;85.45
10270;2026-05-24;Arroz 5kg;4;116.2
10270;2026-05-24;Linguica kg;2;39.7
10270;2026-05-24;Leite 1L;1;4.22
10270;2026-05-24;Carne Bovina kg;5;180.5
10270;2026-05-24;Cafe 500g;5;91.05
10271;2026-05-11;Leite 1L;6;28.26
10271;2026-05-11;Frango kg;3;32.13
10272;2026-05-05;Cafe 500g;3;73.47
10272;2026-05-05;Papel Higienico;3;49.35
10273;2026-05-22;Frango kg;3;41.61
10274;2026-05-06;Sabao em Po;5;88.55
10274;2026-05-06;Frango kg;5;97.2
10274;2026-05-06;Pao de Forma;2;19.98
10274;2026-05-06;Linguica kg;2;36.1
10275;2026-05-24;Pao de Forma;6;70.14
10275;2026-05-24;Arroz 5kg;4;132.24
10276;2026-05-25;Pao de Forma;5;39.55
10277;2026-05-26;Cafe 500g;2;32.62
10277;2026-05-26;Sabao em Po;1;11.33
